fecha,abrir,max,min,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,volumen
"May 9, 2025","2,424.89","2,469.61","2,413.86","2,450.00","2,450.00","382,700"
"May 8, 2025","2,470.07","2,501.00","2,380.41","2,410.00","2,410.00","906,000"
"May 7, 2025","2,222.84","2,277.60","2,217.46","2,262.09","2,262.09","709,000"
"May 6, 2025","2,225.00","2,251.25","2,206.88","2,229.00","2,229.00","475,900"
"May 5, 2025","2,256.00","2,278.50","2,242.50","2,246.54","2,246.54","294,200"
"May 2, 2025","2,325.00","2,338.28","2,257.39","2,280.69","2,280.69","352,900"
"May 1, 2025","2,337.86","2,349.00","2,290.60","2,294.52","2,294.52","303,900"
"Apr 30, 2025","2,230.00","2,337.51","2,217.83","2,330.85","2,330.85","601,300"
"Apr 29, 2025","2,225.39","2,295.89","2,208.32","2,280.86","2,280.86","352,100"
"Apr 28, 2025","2,240.51","2,249.07","2,186.56","2,208.40","2,208.40","249,500"
"Apr 25, 2025","2,204.81","2,235.96","2,186.00","2,225.85","2,225.85","284,100"
"Apr 24, 2025","2,159.26","2,210.00","2,133.02","2,204.81","2,204.81","391,200"
"Apr 23, 2025","2,182.03","2,200.00","2,129.16","2,139.92","2,139.92","331,200"
"Apr 22, 2025","2,099.37","2,152.67","2,080.54","2,128.33","2,128.33","323,300"
"Apr 21, 2025","2,088.47","2,115.94","2,031.59","2,056.43","2,056.43","226,800"
"Apr 17, 2025","2,088.97","2,110.91","2,050.56","2,099.37","2,099.37","251,100"
"Apr 16, 2025","2,062.35","2,093.43","2,030.00","2,064.37","2,064.37","426,100"
"Apr 15, 2025","2,070.00","2,121.87","2,043.01","2,118.32","2,118.32","424,700"
"Apr 14, 2025","2,070.97","2,075.00","2,000.00","2,037.12","2,037.12","317,700"
"Apr 11, 2025","1,943.00","2,002.84","1,935.00","1,996.95","1,996.95","359,400"
"Apr 10, 2025","1,960.01","1,960.01","1,865.24","1,933.99","1,933.99","383,700"
"Apr 9, 2025","1,800.00","2,003.23","1,797.28","1,980.66","1,980.66","927,400"
"Apr 8, 2025","1,883.81","1,944.09","1,810.17","1,826.11","1,826.11","621,500"
"Apr 7, 2025","1,726.21","1,880.00","1,723.90","1,794.73","1,794.73","671,400"
"Apr 4, 2025","1,862.64","1,894.32","1,807.20","1,841.29","1,841.29","853,300"
"Apr 3, 2025","1,870.81","1,965.97","1,848.15","1,945.55","1,945.55","655,900"
"Apr 2, 2025","1,900.00","1,952.50","1,890.00","1,934.03","1,934.03","466,300"
"Apr 1, 2025","1,955.74","1,955.74","1,906.15","1,915.00","1,915.00","682,400"
"Mar 31, 2025","1,995.99","2,020.00","1,921.00","1,950.87","1,950.87","680,800"
"Mar 28, 2025","2,095.85","2,109.34","2,043.55","2,048.07","2,048.07","326,900"
"Mar 27, 2025","2,065.85","2,113.10","2,050.00","2,095.85","2,095.85","268,300"
"Mar 26, 2025","2,180.72","2,180.72","2,069.76","2,074.97","2,074.97","492,100"
"Mar 25, 2025","2,153.89","2,202.00","2,127.61","2,191.30","2,191.30","429,400"
"Mar 24, 2025","2,114.40","2,164.74","2,100.50","2,134.31","2,134.31","356,400"
"Mar 21, 2025","2,037.50","2,097.11","2,020.00","2,095.27","2,095.27","441,800"
"Mar 20, 2025","2,061.89","2,090.86","2,044.93","2,067.57","2,067.57","264,500"
"Mar 19, 2025","2,026.33","2,082.01","2,008.69","2,065.94","2,065.94","349,000"
"Mar 18, 2025","2,103.76","2,104.00","1,981.00","2,002.80","2,002.80","436,100"
"Mar 17, 2025","2,030.61","2,124.76","2,022.43","2,106.46","2,106.46","443,600"
"Mar 14, 2025","2,022.75","2,049.16","2,003.58","2,021.37","2,021.37","510,600"
"Mar 13, 2025","2,013.39","2,019.95","1,971.23","1,989.70","1,989.70","510,600"
"Mar 12, 2025","2,034.63","2,054.99","1,978.00","2,004.83","2,004.83","522,100"
"Mar 11, 2025","1,947.40","2,015.23","1,935.00","1,990.11","1,990.11","649,600"
"Mar 10, 2025","1,981.87","1,981.87","1,914.83","1,944.61","1,944.61","868,400"
"Mar 7, 2025","2,043.31","2,053.68","1,896.00","2,009.34","2,009.34","771,600"
"Mar 6, 2025","2,076.62","2,107.49","2,035.65","2,045.25","2,045.25","380,200"
"Mar 5, 2025","2,071.11","2,116.05","2,062.00","2,112.77","2,112.77","333,000"
"Mar 4, 2025","2,050.00","2,079.52","2,001.00","2,059.87","2,059.87","317,300"
"Mar 3, 2025","2,143.61","2,143.61","2,058.00","2,070.41","2,070.41","358,700"
"Feb 28, 2025","2,101.41","2,123.45","2,056.61","2,121.87","2,121.87","457,400"
"Feb 27, 2025","2,218.75","2,218.75","2,119.78","2,129.80","2,129.80","433,000"
"Feb 26, 2025","2,185.99","2,207.01","2,153.91","2,197.64","2,197.64","478,500"
"Feb 25, 2025","2,230.00","2,245.48","2,128.92","2,168.60","2,168.60","527,900"
"Feb 24, 2025","2,280.18","2,318.76","2,206.11","2,223.35","2,223.35","513,900"
"Feb 21, 2025","2,352.75","2,374.54","2,226.19","2,260.00","2,260.00","1,257,200"
"Feb 20, 2025","2,060.37","2,119.09","2,034.03","2,110.47","2,110.47","731,500"
"Feb 19, 2025","2,083.12","2,100.30","2,065.61","2,075.79","2,075.79","413,700"
"Feb 18, 2025","2,092.12","2,101.10","2,066.00","2,098.75","2,098.75","364,600"
"Feb 14, 2025","2,064.73","2,124.00","2,043.74","2,109.99","2,109.99","355,400"
"Feb 13, 2025","2,019.00","2,069.69","2,003.16","2,066.15","2,066.15","294,300"
"Feb 12, 2025","2,020.00","2,033.05","1,996.03","2,016.73","2,016.73","350,800"
"Feb 11, 2025","2,025.70","2,074.40","2,004.35","2,035.18","2,035.18","315,200"
"Feb 10, 2025","2,034.92","2,046.39","2,011.51","2,042.22","2,042.22","246,000"
"Feb 7, 2025","2,011.86","2,044.75","1,985.10","1,996.65","1,996.65","331,300"
"Feb 6, 2025","1,972.00","2,023.51","1,972.00","2,012.80","2,012.80","304,800"
"Feb 5, 2025","1,966.41","1,978.98","1,950.00","1,975.19","1,975.19","212,200"
"Feb 4, 2025","1,925.17","1,971.54","1,915.00","1,966.41","1,966.41","376,600"
"Feb 3, 2025","1,880.07","1,914.86","1,828.00","1,908.90","1,908.90","426,500"
"Jan 31, 2025","1,950.00","1,974.16","1,918.96","1,922.19","1,922.19","281,400"
"Jan 30, 2025","1,921.73","1,976.50","1,913.06","1,947.32","1,947.32","486,900"
"Jan 29, 2025","1,900.52","1,902.00","1,869.43","1,889.76","1,889.76","181,800"
"Jan 28, 2025","1,847.59","1,905.00","1,826.53","1,895.53","1,895.53","351,700"
"Jan 27, 2025","1,800.06","1,859.21","1,787.26","1,846.00","1,846.00","355,800"
"Jan 24, 2025","1,839.56","1,871.45","1,835.16","1,843.45","1,843.45","325,000"
"Jan 23, 2025","1,818.00","1,834.48","1,793.00","1,828.73","1,828.73","267,800"
"Jan 22, 2025","1,847.96","1,885.00","1,808.02","1,818.49","1,818.49","402,800"
"Jan 21, 2025","1,852.66","1,863.31","1,829.12","1,834.51","1,834.51","262,800"
"Jan 17, 2025","1,876.42","1,876.42","1,832.91","1,836.00","1,836.00","245,100"
"Jan 16, 2025","1,841.38","1,851.39","1,815.06","1,837.18","1,837.18","242,000"
"Jan 15, 2025","1,795.00","1,843.53","1,785.03","1,838.15","1,838.15","364,000"
"Jan 14, 2025","1,751.00","1,776.15","1,746.44","1,753.61","1,753.61","240,200"
"Jan 13, 2025","1,740.00","1,749.02","1,730.14","1,740.00","1,740.00","298,600"
"Jan 10, 2025","1,730.15","1,780.62","1,727.41","1,758.77","1,758.77","364,800"
"Jan 8, 2025","1,750.00","1,761.00","1,731.12","1,739.00","1,739.00","388,800"
"Jan 7, 2025","1,799.01","1,805.88","1,762.78","1,771.22","1,771.22","307,400"
"Jan 6, 2025","1,851.30","1,851.30","1,781.56","1,799.42","1,799.42","365,500"
"Jan 3, 2025","1,800.13","1,850.00","1,791.76","1,834.17","1,834.17","519,600"
"Jan 2, 2025","1,715.38","1,774.00","1,707.31","1,765.00","1,765.00","392,000"
"Dec 31, 2024","1,721.81","1,729.28","1,698.53","1,700.44","1,700.44","173,200"
"Dec 30, 2024","1,702.34","1,726.00","1,693.01","1,721.80","1,721.80","241,800"
"Dec 27, 2024","1,734.52","1,739.54","1,711.81","1,725.47","1,725.47","183,700"
"Dec 26, 2024","1,743.20","1,749.98","1,727.84","1,732.76","1,732.76","156,000"
"Dec 24, 2024","1,730.00","1,743.78","1,720.00","1,743.29","1,743.29","104,900"
"Dec 23, 2024","1,725.22","1,758.32","1,719.06","1,729.85","1,729.85","502,500"
"Dec 20, 2024","1,651.76","1,727.17","1,646.00","1,720.36","1,720.36","717,600"
"Dec 19, 2024","1,746.97","1,746.97","1,662.77","1,666.00","1,666.00","930,400"
"Dec 18, 2024","1,819.50","1,847.98","1,701.50","1,716.38","1,716.38","773,900"
"Dec 17, 2024","1,795.00","1,826.12","1,780.51","1,809.12","1,809.12","559,600"
"Dec 16, 2024","1,825.99","1,829.61","1,793.54","1,796.72","1,796.72","562,900"
"Dec 13, 2024","1,857.00","1,878.41","1,813.02","1,823.86","1,823.86","411,200"
"Dec 12, 2024","1,892.16","1,924.95","1,870.77","1,870.77","1,870.77","231,900"
"Dec 11, 2024","1,897.97","1,903.13","1,872.47","1,897.87","1,897.87","283,200"
"Dec 10, 2024","1,857.00","1,880.55","1,842.62","1,879.18","1,879.18","393,100"
"Dec 9, 2024","1,941.69","1,965.77","1,839.99","1,844.30","1,844.30","584,200"
"Dec 6, 2024","1,977.97","1,994.75","1,943.47","1,947.18","1,947.18","311,000"
"Dec 5, 2024","1,979.54","2,007.00","1,965.50","1,984.95","1,984.95","325,500"
"Dec 4, 2024","1,929.49","2,000.00","1,921.63","1,987.43","1,987.43","367,400"
"Dec 3, 2024","1,952.44","1,958.39","1,928.13","1,929.49","1,929.49","299,500"
"Dec 2, 2024","1,988.00","2,000.00","1,931.79","1,952.44","1,952.44","384,800"
"Nov 29, 2024","1,984.98","1,998.35","1,940.51","1,985.17","1,985.17","374,200"
"Nov 27, 2024","2,110.00","2,115.20","2,038.67","2,044.76","2,044.76","282,300"
"Nov 26, 2024","2,094.55","2,146.82","2,089.41","2,110.00","2,110.00","393,000"
"Nov 25, 2024","2,034.00","2,106.15","2,024.94","2,099.95","2,099.95","655,900"
"Nov 22, 2024","1,967.50","2,007.58","1,955.17","2,005.00","2,005.00","414,200"
"Nov 21, 2024","1,917.01","1,970.56","1,880.00","1,968.15","1,968.15","385,500"
"Nov 20, 2024","1,923.52","1,945.94","1,905.41","1,931.26","1,931.26","439,300"
"Nov 19, 2024","1,892.06","1,921.41","1,880.00","1,916.51","1,916.51","342,900"
"Nov 18, 2024","1,880.00","1,918.87","1,858.32","1,916.12","1,916.12","360,500"
"Nov 15, 2024","1,875.90","1,885.01","1,852.79","1,880.00","1,880.00","463,700"
"Nov 14, 2024","1,923.77","1,923.77","1,848.00","1,876.20","1,876.20","547,000"
"Nov 13, 2024","1,968.12","1,975.80","1,925.39","1,930.95","1,930.95","456,100"
"Nov 12, 2024","1,980.02","2,004.62","1,954.37","1,977.39","1,977.39","637,100"
"Nov 11, 2024","1,894.14","1,967.00","1,882.30","1,961.16","1,961.16","987,200"
"Nov 8, 2024","1,824.50","1,873.08","1,793.10","1,872.01","1,872.01","1,356,900"
"Nov 7, 2024","1,920.00","1,920.00","1,749.91","1,774.05","1,774.05","2,966,800"
"Nov 6, 2024","2,101.84","2,122.16","2,083.32","2,117.30","2,117.30","508,900"
"Nov 5, 2024","2,064.69","2,094.92","2,055.33","2,090.01","2,090.01","287,300"
"Nov 4, 2024","2,059.00","2,084.19","2,047.70","2,063.70","2,063.70","249,700"
"Nov 1, 2024","2,030.44","2,060.86","2,021.91","2,054.90","2,054.90","344,800"
"Oct 31, 2024","2,015.25","2,048.34","1,990.18","2,037.18","2,037.18","324,100"
"Oct 30, 2024","2,015.33","2,026.23","1,962.38","2,020.72","2,020.72","366,600"
"Oct 29, 2024","2,058.24","2,075.68","2,023.50","2,026.57","2,026.57","338,400"
"Oct 28, 2024","2,056.00","2,082.00","2,044.62","2,056.09","2,056.09","286,200"
"Oct 25, 2024","2,053.99","2,092.52","2,044.94","2,047.35","2,047.35","217,100"
"Oct 24, 2024","2,038.70","2,063.99","2,029.88","2,055.93","2,055.93","130,900"
"Oct 23, 2024","2,062.29","2,075.24","2,028.42","2,038.70","2,038.70","163,600"
"Oct 22, 2024","2,077.92","2,090.01","2,061.02","2,067.82","2,067.82","188,600"
"Oct 21, 2024","2,065.00","2,102.98","2,065.00","2,100.58","2,100.58","217,200"
"Oct 18, 2024","2,065.87","2,088.33","2,046.67","2,079.79","2,079.79","229,900"
"Oct 17, 2024","2,066.85","2,079.94","2,046.03","2,065.87","2,065.87","199,700"
"Oct 16, 2024","2,029.32","2,063.97","2,029.32","2,046.47","2,046.47","230,300"
"Oct 15, 2024","2,075.48","2,082.99","2,018.39","2,033.62","2,033.62","330,700"
"Oct 14, 2024","2,091.82","2,105.04","2,073.41","2,079.96","2,079.96","201,700"
"Oct 11, 2024","2,058.21","2,107.10","2,043.00","2,091.16","2,091.16","343,000"
"Oct 10, 2024","2,044.00","2,059.82","2,026.10","2,040.50","2,040.50","197,300"
"Oct 9, 2024","2,007.70","2,052.50","2,002.92","2,047.99","2,047.99","274,700"
"Oct 8, 2024","1,963.05","2,018.51","1,963.05","2,014.23","2,014.23","268,900"
"Oct 7, 2024","1,961.00","1,985.00","1,951.01","1,963.23","1,963.23","252,000"
"Oct 4, 2024","1,966.00","1,972.21","1,937.28","1,960.00","1,960.00","315,800"
"Oct 3, 2024","1,956.65","1,970.01","1,942.32","1,959.20","1,959.20","243,200"
