fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,tasa_variacion,media_movil_7d,retorno_acumulado,desviacion_total
2007-08-10,22.0,29.0,21.0,28.5,27.62,,0.0,0.0,30.02285714285714,0.0,233.03236943430136
2007-08-13,31.2,39.67,29.0,31.65,30.67,,0.0,0.11052631578947358,30.02285714285714,0.11052631578947358,233.03236943430136
2007-08-14,32.45,32.7,29.98,30.03,29.1,609.3,0.0,-0.05118483412322272,30.02285714285714,0.05368421052631578,233.03236943430136
2007-08-15,30.21,30.21,28.05,28.56,27.67,991.8,0.0,-0.04895104895104907,30.02285714285714,0.00210526315789461,233.03236943430136
2007-08-16,28.25,30.0,25.06,28.1,27.23,,1.4713837025059089,-0.016106442577030755,30.02285714285714,-0.01403508771929829,233.03236943430136
2007-08-17,30.32,33.64,30.0,32.85,31.83,438.1,2.0153337192633884,0.16903914590747338,30.02285714285714,0.15263157894736845,233.03236943430136
2007-08-20,32.9,33.5,29.5,30.47,29.53,235.0,1.8726905777517016,-0.07245053272450541,30.02285714285714,0.06912280701754381,233.03236943430136
2007-08-21,29.71,30.29,27.76,29.02,28.12,180.5,1.9227194283098095,-0.04758779127010171,30.09714285714286,0.01824561403508773,233.03236943430136
2007-08-22,29.15,30.83,29.15,29.57,28.65,77.9,1.809604929259423,0.018952446588559546,29.8,0.03754385964912266,233.03236943430136
2007-08-23,30.89,30.89,28.9,30.0,29.07,244.7,1.4797871468559278,0.014541765302671594,29.795714285714286,0.05263157894736814,233.03236943430136
2007-08-24,29.16,30.25,28.52,30.0,29.07,144.2,0.5453164219056654,0.0,30.00142857142857,0.05263157894736814,233.03236943430136
2007-08-27,29.37,30.25,28.51,29.4,28.49,173.2,0.417516466741128,-0.020000000000000018,30.187142857142856,0.03157894736842071,233.03236943430136
2007-08-28,29.3,29.8,28.5,28.9,28.0,292.6,0.4603042472104677,-0.017006802721088454,29.62285714285714,0.014035087719297845,233.03236943430136
2007-08-29,29.52,30.72,28.76,29.33,28.42,113.8,0.4731595925266598,0.014878892733563909,29.46,0.02912280701754333,233.03236943430136
2007-08-30,29.75,29.75,28.55,28.75,27.86,259.6,0.49003061128871367,-0.019774974428912295,29.42142857142857,0.008771929824560987,233.03236943430136
